Dates,03-12-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
G-Wedge,21,70.9,R5.7,28.9,8747,R8.8,8643,R1341,17.4,81.9,82.7,R11.6,44.7,R4.1,R6.1,-3.8,38.8
,Average,67.9,R5.9,28.3,7060,R4.4,6891,R483,15.8,72.9,78.8,R7.4,NaN,R4.1,R4.7,-1.3,27.8
,Deviation,3.7,2.6,6.8,1531,6.2,1987,712.9,5.7,19.6,12.3,4.7,NaN,4.1,3.6,1.9,17.2
S-Wedge,0,43.5,R4.0,27.9,7457,R8.0,7384,R1040,5.5,34.8,38.1,R2.9,33.8,R4.0,R4.4,-5.4,37.5
S-Wedge,1,42.9,R5.7,31.3,6262,R8.0,6201,R873,6.3,34.9,37.9,R3.9,37.2,R3.0,R6.4,-3.0,41.1
S-Wedge,2,40.9,R4.2,30.6,6597,R9.4,6509,R1072,5.5,31.9,34.7,R2.8,36.0,L0.1,R5.3,-2.6,40.2
S-Wedge,3,40.6,R8.5,32.3,6542,R10.8,6426,R1223,5.9,31.8,34.2,R5.1,37.8,L0.0,L0.0,0.0,0.0
S-Wedge,4,48.4,R0.7,23.1,5811,R8.8,5743,R891,5.0,39.2,46.1,R1.3,29.0,L0.9,R1.2,-3.3,30.9
S-Wedge,5,44.6,R8.2,31.5,7325,R12.5,7152,R1582,6.9,37.5,39.8,R6.2,38.1,L0.0,L0.0,0.0,0.0
S-Wedge,6,44.1,R5.4,30.8,6139,R8.7,6068,R932,6.5,36.4,39.7,R3.9,37.0,R3.7,R5.8,-2.6,40.5
S-Wedge,7,42.8,R11.5,36.2,6054,R11.4,5935,R1198,7.8,35.5,37.4,R7.5,42.6,R6.2,R12.8,-1.2,47.0
S-Wedge,8,53.5,R2.5,31.9,6994,R1.6,6991,R199,10.6,52.3,54.4,R2.4,41.3,R2.9,R3.0,-1.4,41.8
S-Wedge,9,48.3,R6.2,32.4,7068,R6.8,7017,R840,8.6,43.7,45.7,R5.2,40.4,R3.8,R6.7,-1.9,42.4
S-Wedge,10,48.5,R7.8,34.5,6362,R9.9,6268,R1090,9.5,44.2,46.3,R6.9,42.5,L0.0,L0.0,0.0,0.0
,Average,45.3,R5.9,31.1,6601,R8.7,6518,R995,7.1,38.4,41.3,R4.4,37.8,R2.0,R4.1,-1.9,29.2
,Deviation,1.7,2.9,3.2,517,2.7,517,322.2,1.6,5.4,5.3,1.9,3.8,2.2,3.7,1.6,18.3
L-Wedge,0,60.3,R1.3,32.8,7222,R2.2,7217,R282,14.3,64.1,65.6,R2.0,44.7,L0.0,L0.0,0.0,0.0
L-Wedge,1,67.6,L0.0,31.6,10353,L1.4,10350,L244,17.7,74.9,75.0,L0.6,46.9,R2.7,L0.7,-2.3,41.8
L-Wedge,2,57.3,R3.8,32.4,8460,R9.9,8335,R1448,12.6,58.6,59.5,R6.0,43.7,R1.8,R4.3,-3.8,43.1
L-Wedge,3,66.2,R2.6,31.6,9938,R4.4,9909,R764,16.9,72.9,73.3,R4.8,46.2,R1.1,R2.9,-3.8,42.1
L-Wedge,4,75.5,R4.1,32.2,9767,L7.8,9676,L1330,22.9,87.5,87.5,R1.0,49.8,R8.8,R2.9,-2.7,42.8
L-Wedge,5,45.7,R7.2,38.5,6557,R5.6,6525,R640,9.8,39.7,40.8,R5.3,45.8,R7.6,R7.9,3.0,48.9
L-Wedge,6,59.5,R0.0,34.3,8017,L3.7,8000,L514,14.8,62.4,63.2,L1.1,46.2,L0.0,L0.0,0.0,0.0
L-Wedge,7,65.8,R0.4,32.6,8616,L3.4,8600,L515,17.3,73.0,73.5,L0.9,46.8,R3.8,L0.4,-2.4,43.1
L-Wedge,8,49.9,R7.1,34.0,7989,R6.7,7934,R931,10.0,46.4,47.6,R6.3,42.7,R5.8,R7.4,-1.4,44.3
L-Wedge,9,47.3,R1.6,34.5,6225,R5.1,6200,R556,8.9,42.2,44.3,R1.7,42.0,R3.4,R1.9,0.2,44.5
L-Wedge,10,52.9,L0.3,28.8,7812,R3.1,7800,R423,8.9,50.4,53.0,R0.3,37.7,L1.7,0.0,-4.7,38.5
L-Wedge,11,48.9,R1.7,31.6,7319,R4.9,7292,R623,8.6,44.6,46.7,R1.9,39.6,L0.7,R2.2,-4.3,42.0
L-Wedge,12,42.4,R0.2,30.5,6483,R5.7,6450,R648,5.9,33.8,36.9,R0.6,36.0,R0.4,R0.4,-4.6,40.5
L-Wedge,13,38.0,R0.1,28.3,6541,R7.5,6484,R857,4.1,27.0,30.5,R0.5,32.6,L1.6,R0.6,-6.1,38.0
L-Wedge,14,35.6,R2.8,26.6,6034,R14.1,5852,R1472,3.2,23.0,27.2,R1.5,30.0,R0.0,R3.4,-6.0,35.8
L-Wedge,15,37.1,R2.2,28.5,6930,R9.5,6835,R1146,4.0,25.8,29.0,R1.4,32.5,R1.1,R2.5,-6.2,38.3
L-Wedge,16,31.3,R5.6,36.0,5963,R14.1,5785,R1447,4.0,19.9,21.6,R2.2,39.4,L2.2,R7.5,-4.6,47.2
L-Wedge,17,38.8,R0.3,33.9,6930,R13.9,6727,R1664,5.8,29.4,31.4,R1.1,39.0,L6.2,R1.9,-2.6,44.3
L-Wedge,18,39.3,L3.5,29.9,7753,R13.6,7536,R1822,4.9,29.2,31.8,L0.8,34.9,L10.8,L1.6,-5.3,39.9
L-Wedge,19,39.1,R3.8,32.8,8151,R17.8,7762,R2488,5.6,29.7,31.6,R3.1,38.4,R1.2,R4.5,-2.4,42.8
L-Wedge,20,49.9,R3.4,26.9,7446,R27.2,6621,R3405,6.8,43.6,47.9,R5.8,34.1,L9.3,R6.6,-6.0,36.4
L-Wedge,21,31.9,R14.8,41.1,6029,R16.9,5769,R1752,5.1,20.9,21.7,R5.5,45.2,R4.6,R17.3,1.0,52.3
L-Wedge,22,32.7,R3.0,21.2,4381,R19.3,4135,R1447,1.8,16.7,23.5,R1.1,23.0,L1.9,R4.3,-6.0,29.0
L-Wedge,23,28.6,R5.1,23.8,4389,R19.3,4143,R1448,1.6,13.8,18.8,R1.4,25.2,L6.3,R7.9,-6.3,32.2
L-Wedge,24,37.2,R5.0,14.4,3182,R22.8,2935,R1231,1.1,16.1,28.8,R1.6,15.5,R0.9,R6.0,-6.2,20.4
