Dates,03-17-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
9 Iron,12,102.6,R6.3,29.7,6437,L2.0,6433,L221,38.7,133.4,134.3,R11.2,53.8,R7.3,R6.1,-0.3,39.5
,Average,98.5,R6.3,28.8,7233,R1.1,7205,R133,34.4,126.0,126.9,R13.6,52.1,R7.9,R6.0,0.7,38.0
,Deviation,1.0,1.5,2.5,648,5.0,662,603.7,3.4,3.9,4.2,7.6,2.2,1.9,2.1,1.0,3.1
P-Wedge,0,84.2,R0.4,31.8,6160,L21.4,5736,L2246,26.8,103.4,105.2,L13.9,50.8,R11.6,L2.4,2.2,41.3
P-Wedge,1,93.8,R1.1,30.0,7081,L20.6,6628,L2492,31.3,117.6,118.8,L16.5,51.8,R11.8,L1.6,-0.2,39.7
P-Wedge,2,93.5,R7.5,31.0,7892,L4.6,7867,L632,33.6,116.4,116.8,R9.4,52.9,R11.2,R6.6,-1.3,41.3
P-Wedge,3,95.2,R3.9,31.1,7684,L11.3,7535,L1508,34.4,118.6,119.1,L4.0,53.2,R10.1,R2.3,-0.1,41.1
P-Wedge,4,92.6,L0.6,24.5,7191,L22.3,6653,L2729,24.1,117.7,120.0,L19.4,46.2,L0.0,L0.0,0.0,0.0
P-Wedge,5,91.7,R5.3,31.8,7120,L6.4,7076,L794,32.8,114.2,114.8,R3.8,53.0,R8.5,R4.5,0.4,41.8
P-Wedge,6,97.1,L0.2,29.5,7467,L18.8,7069,L2403,33.1,122.3,123.1,L19.0,52.2,R9.9,L2.7,0.5,38.8
P-Wedge,7,94.0,R5.9,31.3,8624,L3.4,8608,L517,34.5,115.8,115.8,R7.5,53.4,R10.1,R4.9,0.3,41.2
P-Wedge,8,86.4,R3.9,30.1,7201,L13.2,7010,L1647,27.2,107.4,108.5,L3.6,50.2,R15.2,R1.0,2.0,39.0
P-Wedge,9,93.0,R9.0,34.3,7209,L4.0,7192,L504,36.6,113.3,113.7,R12.5,55.0,R11.2,R8.5,2.1,44.6
P-Wedge,10,97.7,R1.4,31.3,6645,L19.4,6269,L2204,35.6,123.4,124.3,L16.5,53.7,R11.8,L1.2,2.1,40.7
P-Wedge,11,99.9,R4.4,29.6,8107,L11.5,7943,L1620,36.1,125.6,126.0,L4.0,53.2,R10.4,R2.9,-0.7,39.4
